identificador_ativo,motivo,justificativa,data_baixa,destinacao,valor_residual_baixa
DEKLW6HP9F,FIM_VIDA_UTIL,Vida util contabil esgotada e desempenho insuficiente,2026-09-15,DOACAO,4799.09
NOK6ZZ6EJZ,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2025-11-02,RECICLAGEM_CERTIFICADA,4568.29
NOZVRDRFF9,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2024-08-23,VENDA,3634.65
EFLXQ-WWUT1-T4Z94-2LMBJ-RSFPL,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2026-09-10,DESCARTE,2871.33
TA79HHTZC6,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2026-02-07,DOACAO,489.98
NOF27C6NW8,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2026-09-15,VENDA,5349.05
NOZNUVR7Z9,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2024-08-06,DEVOLUCAO_FORNECEDOR,4304.04
NOHZEZ3GXV,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2026-06-29,VENDA,3208.91
NOZWJ24ZM8,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2026-09-18,DEVOLUCAO_FORNECEDOR,6119.00
NODL6487PX,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2025-06-25,DOACAO,5672.87
MOGZJDXH4Y,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2026-01-22,DEVOLUCAO_FORNECEDOR,243.61
NOWZVJ2JKE,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2025-02-02,VENDA,2760.95
MOTZ79WAF7,FURTO_ROUBO,Boletim de ocorrencia registrado e comunicado ao seguro,2026-09-15,VENDA,834.46
SW8MJE7CUN,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2026-06-03,DEVOLUCAO_FORNECEDOR,3824.07
IMJWWL3VX9,FIM_VIDA_UTIL,Vida util contabil esgotada e desempenho insuficiente,2025-07-03,RECICLAGEM_CERTIFICADA,1459.03
SEWRFT6R72,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2026-09-18,DOACAO,46336.60
SESMB36RG7,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2026-08-04,DEVOLUCAO_FORNECEDOR,40972.31
IMZ7JFEV38,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2026-04-05,VENDA,1400.88
3TZJX-654YV-7GMFT-JNSEE-B8B1P,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2026-03-01,DEVOLUCAO_FORNECEDOR,419.44
SM9W8YTUH2,FIM_VIDA_UTIL,Vida util contabil esgotada e desempenho insuficiente,2025-05-20,DOACAO,2144.27
NO5WF3GMJ8,FURTO_ROUBO,Boletim de ocorrencia registrado e comunicado ao seguro,2026-05-04,VENDA,691.21
L0AFK-63FES-QZFC0-19UDM-74AN9,OUTRO,Equipamento devolvido ao fornecedor por erro de especificacao na compra,2026-03-08,DEVOLUCAO_FORNECEDOR,1882.70
DE48DJPW82,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2026-04-25,VENDA,4548.87
NOA4BQYAXA,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2023-07-11,DOACAO,2812.08
SE4SF8BDYQ,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2025-03-14,VENDA,25622.26
TALEHNYYKR,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2026-08-26,VENDA,917.89
NO6CZJFUW4,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2026-05-27,RECICLAGEM_CERTIFICADA,3022.34
MO48PRF6ZE,FIM_VIDA_UTIL,Vida util contabil esgotada e desempenho insuficiente,2026-09-15,DOACAO,1107.68
SE69HBRLVA,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2026-09-15,DESCARTE,43707.83
IMDKGFY4QD,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2024-11-19,DOACAO,1764.85
DEUF8HV389,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2026-09-15,DEVOLUCAO_FORNECEDOR,4467.09
4M0YB-J67H2-4CESW-A9QX9-9G3R6,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2025-01-12,DESCARTE,1542.62
RO7ZD89BA4,FIM_VIDA_UTIL,Vida util contabil esgotada e desempenho insuficiente,2026-09-18,VENDA,7593.23
SWGDAFRL49,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2026-08-16,DEVOLUCAO_FORNECEDOR,3577.93
SEKATKJSMH,DEFEITO,Falha de hardware com orcamento acima de 70% do valor residual,2026-06-19,VENDA,16699.41
SMMV3AVUP5,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2025-01-18,DOACAO,3062.16
9QLCZ-RALFT-1Y11N-9AEFU-YYTQN,FIM_VIDA_UTIL,Vida util contabil esgotada e desempenho insuficiente,2025-09-27,DOACAO,2809.62
IMDWDD8LDF,OBSOLESCENCIA,Equipamento fora do ciclo de suporte do fabricante,2026-09-15,RECICLAGEM_CERTIFICADA,2199.04
SMVTDYEV76,FIM_VIDA_UTIL,Vida util contabil esgotada e desempenho insuficiente,2026-09-15,DOACAO,1635.68
TAWSBFQBTC,FURTO_ROUBO,Boletim de ocorrencia registrado e comunicado ao seguro,2025-04-28,VENDA,2516.96
