,,,,,
,P3 — TCO da Plataforma de Observabilidade,,,,
,"Open source, SaaS e híbrida.",,,,
,,,,,
,Componente,Open Source,SaaS Full,Híbrido,Observação
,Infra/hosting,90000,0,60000,Servidores/storage/managed infra
,Licenças/subscrições,20000,420000,180000,Hipótese didática
,Serviços de implantação,85000,45000,80000,PoC + rollout
,Treinamento,45000,30000,45000,NOC/engenharia/owners
,Sustentação incremental,45000,15000,25000,Peopleware
,Reserva telemetria,0,0,0,10% aplicado abaixo
,,,,,
,TOTAL base,Open Source,SaaS Full,Híbrido,
,,285000,510000,390000,
,Reserva 10%,28500,51000,39000,
,TOTAL com reserva,313500,561000,429000,
