,,,,,,,,,,,,
,P3 — Dashboard Executivo de Observabilidade,,,,,,,,,,,
,Indicadores derivados do dataset de alertas.,,,,,,,,,,,
,,,,,,,,,,,,
,KPI,Baseline amostra,Meta,Status/Gap,,,,,,,,
,MTTD médio (min),50.458,10,40.458,,,,,,,,
,MTTR médio (min),236.438,90,146.438,,,,,,,,
,Alertas acionáveis,0.25,0.4,-0.15000000000000002,,,,,,,,
,Duplicados,0.368,0.15,0.218,,,,,,,,
,Runbooks,0.244,0.9,-0.656,,,,,,,,
,Eventos que viraram incidentes,0.142,0.3,-0.158,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Severidade,Qtde,,,,,,,,,,
,Critical,41,,,,,,,,,,
,High,67,,,,,,,,,,
,Medium,177,,,,,,,,,,
,Low,215,,,,,,,,,,
