nome,tipo,categoria,fornecedor,numero_serie,chave_licenca,data_aquisicao,valor_compra,status,localizacao
Positivo Master D2300,HARDWARE,Desktop,Lenovo Tecnologia Brasil Ltda,DEJ9FDHKL5,,2024-08-20,3303.40,ATIVO,Anexo II - Sala 05
Cisco ISR 1111,HARDWARE,Roteador,HP Brasil Industria e Comercio,ROSAHTXHU5,,2024-03-20,6870.08,ATIVO,Deposito de TI
Samsung Galaxy Tab S9,HARDWARE,Tablet,Dell Computadores do Brasil Ltda,TASMGVNKZL,,2023-06-20,3926.97,ATIVO,Bloco A - Sala 101
Dell Vostro 3520,HARDWARE,Notebook,Lenovo Tecnologia Brasil Ltda,NOZVRDRFF9,,2023-10-20,4361.58,BAIXADO,Bloco A - Recepcao
Samsung Galaxy S23,HARDWARE,Smartphone,Intelbras S.A.,SM8LS5PNV3,,2024-04-20,4712.40,ATIVO,Anexo II - Sala 05
Dell Vostro 3520,HARDWARE,Notebook,Lenovo Tecnologia Brasil Ltda,NORQEXBQQA,,2022-11-20,4229.01,ATIVO,Bloco B - Sala 302
HP ProBook 450 G10,HARDWARE,Notebook,APC by Schneider Electric Brasil,NOCXERT9PJ,,2025-05-20,6196.19,ATIVO,Anexo I - Sala 12
HP EliteDesk 800 G9,HARDWARE,Desktop,Lenovo Tecnologia Brasil Ltda,DEGG5Y547D,,2026-05-20,5078.47,ATIVO,Bloco B - Almoxarifado
APC Smart-UPS 1500VA,HARDWARE,Nobreak,Cisco do Brasil Ltda,NOGRNN6J5M,,2024-03-20,3665.82,ATIVO,Bloco A - Sala 204
Cisco Catalyst 1000-24T,HARDWARE,Switch,APC by Schneider Electric Brasil,SWGDAFRL49,,2025-07-20,4567.57,BAIXADO,Bloco A - Sala 101
Dell OptiPlex 7010,HARDWARE,Desktop,HP Brasil Industria e Comercio,DE2A2S7U59,,2025-08-20,4565.81,ATIVO,Bloco A - Sala 101
HP LaserJet Pro M404dn,HARDWARE,Impressora,HP Brasil Industria e Comercio,IMDWDD8LDF,,2026-04-20,2454.74,BAIXADO,Home office
Positivo Master D2300,HARDWARE,Desktop,Positivo Tecnologia S.A.,DE3HRCF4WS,,2023-02-20,3576.41,ATIVO,Bloco B - Sala 302
Dell PowerEdge R650,HARDWARE,Servidor,Lenovo Tecnologia Brasil Ltda,SE3JV7WEA7,,2026-04-20,48433.55,ATIVO,Datacenter - Rack 01
Dell PowerEdge R650,HARDWARE,Servidor,Cisco do Brasil Ltda,SEJYERZUL6,,2023-05-20,53573.99,ATIVO,Home office
Cisco ISR 1111,HARDWARE,Roteador,Cisco do Brasil Ltda,ROAVGJSHGK,,2025-02-20,7996.24,ATIVO,Deposito de TI
Dell PowerEdge T350,HARDWARE,Servidor,Dell Computadores do Brasil Ltda,SEPS9SDF5T,,2026-08-20,20161.12,ATIVO,Bloco A - Recepcao
Samsung Galaxy A54,HARDWARE,Smartphone,Dell Computadores do Brasil Ltda,SMSL65AHEK,,2024-09-20,1937.62,ATIVO,Bloco A - Recepcao
LG 24MK430H,HARDWARE,Monitor,Lenovo Tecnologia Brasil Ltda,MOJCVZCYPR,,2024-10-20,832.44,ATIVO,Anexo I - Sala 12
Samsung SL-M4020ND,HARDWARE,Impressora,Samsung Eletronica da Amazonia,IMKRLM4BMX,,2023-02-20,2283.49,ATIVO,Bloco B - Sala 302
Dell PowerEdge R650,HARDWARE,Servidor,Intelbras S.A.,SELG2C8QN7,,2025-01-20,51692.58,EM_MANUTENCAO,Bloco B - Sala 302
Positivo Master D2300,HARDWARE,Desktop,Samsung Eletronica da Amazonia,DEBN3XTETY,,2023-01-20,3792.62,ATIVO,Datacenter - Rack 01
Dell PowerEdge T350,HARDWARE,Servidor,Intelbras S.A.,SEBHSMSCG5,,2022-10-20,22443.60,ATIVO,Anexo I - Sala 12
Samsung SL-M4020ND,HARDWARE,Impressora,Intelbras S.A.,IMH2NSC5AN,,2024-05-20,1883.27,ATIVO,Home office
Dell PowerEdge T350,HARDWARE,Servidor,HP Brasil Industria e Comercio,SEWHVV4W3U,,2025-08-20,20599.05,EM_MANUTENCAO,Anexo I - Sala 12
Samsung Galaxy S23,HARDWARE,Smartphone,Intelbras S.A.,SMMV3AVUP5,,2024-03-20,4239.92,BAIXADO,Home office
HP EliteDesk 800 G9,HARDWARE,Desktop,Positivo Tecnologia S.A.,DE8LFUXFRV,,2025-08-20,4759.90,ATIVO,Bloco A - Sala 101
Positivo Master D2300,HARDWARE,Desktop,Positivo Tecnologia S.A.,DE8E74N293,,2025-11-20,3527.34,ATIVO,Bloco A - Sala 101
Samsung Galaxy Tab A8,HARDWARE,Tablet,APC by Schneider Electric Brasil,TAG5QM7DRH,,2025-12-20,1394.04,ATIVO,Home office
Cisco ISR 1111,HARDWARE,Roteador,Positivo Tecnologia S.A.,ROW656L86S,,2023-04-20,7383.13,ATIVO,Datacenter - Rack 01
Intelbras SG 2404 MR,HARDWARE,Switch,Intelbras S.A.,SWRT6EURTX,,2023-10-20,1259.07,ATIVO,Bloco A - Recepcao
Positivo Master D2300,HARDWARE,Desktop,Samsung Eletronica da Amazonia,DE2KPE44X7,,2026-05-20,3160.78,ATIVO,Anexo I - Sala 12
Samsung LF24T350 24,HARDWARE,Monitor,Positivo Tecnologia S.A.,MOB28AYV24,,2024-01-20,792.76,ATIVO,Anexo I - Sala 12
Intelbras SG 2404 MR,HARDWARE,Switch,Samsung Eletronica da Amazonia,SWB2X3L7JB,,2023-07-20,1421.64,ATIVO,Bloco A - Sala 101
HP ProBook 450 G10,HARDWARE,Notebook,Positivo Tecnologia S.A.,NO5J7MDS2W,,2024-03-20,5558.97,ATIVO,Anexo I - Sala 12
Dell PowerEdge R650,HARDWARE,Servidor,Lenovo Tecnologia Brasil Ltda,SE4SF8BDYQ,,2023-03-20,42703.77,BAIXADO,Bloco A - Sala 101
Positivo Master D2300,HARDWARE,Desktop,APC by Schneider Electric Brasil,DENBKRJ8HP,,2022-12-20,3201.09,ATIVO,Bloco B - Almoxarifado
Dell OptiPlex 7010,HARDWARE,Desktop,Positivo Tecnologia S.A.,DEHLVGBV23,,2026-04-20,4906.10,ATIVO,Home office
Positivo Master D2300,HARDWARE,Desktop,Intelbras S.A.,DEGVHCY5ZE,,2026-08-20,3685.25,ATIVO,Anexo II - Sala 05
Dell Vostro 3520,HARDWARE,Notebook,APC by Schneider Electric Brasil,NO5Z7K5MT8,,2024-05-20,4420.52,ATIVO,Datacenter - Rack 02
Dell PowerEdge R650,HARDWARE,Servidor,Intelbras S.A.,SEWRFT6R72,,2026-07-20,47934.41,BAIXADO,Bloco B - Almoxarifado
