software,numero_serie_ativo,data_vinculo,ativo_vinculo
Microsoft 365 Business Standard,MOF5GR53F3,2026-07-25,true
Microsoft 365 Business Standard,ROG6QCV7BD,2026-03-02,true
Microsoft 365 Business Standard,NOEYRGXJCY,2025-10-24,true
Microsoft 365 Business Standard,DEGG5Y547D,2026-08-26,true
Microsoft 365 Business Standard,IMU6H7V3T9,2026-06-04,true
Microsoft 365 Business Standard,SE98UAG5JS,2026-03-13,true
Microsoft 365 Business Standard,NOR2YUUB3T,2026-04-15,true
Microsoft 365 Business Standard,NOPBDXRJPE,2026-05-14,true
Microsoft 365 Business Standard,DE652APPTE,2026-05-15,true
Microsoft 365 Business Standard,SEBHSMSCG5,2026-08-12,true
Microsoft 365 Business Standard,NO5FQ6YB4D,2026-09-20,true
Microsoft 365 Business Standard,SEWHVV4W3U,2025-10-26,true
Microsoft 365 Business Standard,IM3EKBFP24,2026-06-18,true
Microsoft 365 Business Standard,MOEDE8CU4M,2026-09-19,true
Microsoft 365 Business Standard,SENHC4BRPE,2026-07-09,true
Microsoft 365 Business Standard,SEZ97G8WPZ,2026-01-04,true
Microsoft 365 Business Standard,ROLX57Q3MM,2026-05-11,true
Microsoft 365 Business Standard,IMH2NSC5AN,2026-02-13,true
Microsoft 365 Business Standard,DEBTD8YQLG,2026-02-13,true
Microsoft 365 Business Standard,SW6EFWKEJT,2026-02-04,true
Microsoft 365 Business Standard,ROLE6YV5S7,2026-06-19,true
Microsoft 365 Business Standard,ROW656L86S,2026-02-16,true
Microsoft 365 Business Standard,NO5J7MDS2W,2026-07-11,true
Microsoft 365 Business Standard,DEBN3XTETY,2026-08-16,true
Microsoft 365 Business Standard,NOZQBWGXKJ,2026-07-29,true
Microsoft 365 Business Standard,DE3HRCF4WS,2026-06-16,true
Microsoft 365 Business Standard,NO8QL6ECUB,2026-06-13,true
Microsoft 365 Business Standard,SWK68YX27W,2026-04-12,true
Microsoft 365 Business Standard,NOYV3JFV2X,2025-12-02,true
Microsoft 365 Business Standard,DEJET4XTAU,2026-03-29,true
Microsoft 365 Business Standard,IMY5LJPPDY,2026-01-24,true
Microsoft 365 Business Standard,SMDXEXG2US,2026-05-27,true
Microsoft 365 Business Standard,SE4HJCCV9H,2026-05-21,true
Microsoft 365 Business Standard,SW4TPHY5HU,2026-02-04,true
Microsoft 365 Business Standard,RODMQC3E7U,2026-06-01,true
Microsoft 365 Business Standard,NOWR39KT42,2026-08-13,true
Microsoft 365 Business Standard,MO9WMYQM2V,2026-01-04,true
Microsoft 365 Business Standard,ROA74DNZ96,2026-04-29,true
Microsoft 365 Business Standard,MOPK46PFGJ,2025-12-30,true
Microsoft 365 Business Standard,MOT4V8EZSR,2026-08-11,true
Microsoft 365 Business Standard,DE9PYSXTTA,2026-04-21,true
Microsoft 365 Business Standard,SEPCD3U453,2026-03-25,true
Microsoft Windows 11 Pro,MOLSGHQACA,2026-08-21,true
Microsoft Windows 11 Pro,TASMGVNKZL,2024-10-17,true
Microsoft Windows 11 Pro,MO7D7VB3SA,2025-03-30,true
Microsoft Windows 11 Pro,SELFX6ASPR,2025-05-11,true
Microsoft Windows 11 Pro,MO4J25M9ML,2025-05-02,true
Microsoft Windows 11 Pro,DEZ2ZM6CS6,2026-05-20,true
