identificador_ativo,matricula_responsavel,setor,data_inicio,data_fim,motivo
DEJ9FDHKL5,MAT0032,Comercial,2024-09-04,,Mudanca de setor
ROSAHTXHU5,MAT0004,Financeiro,2025-06-20,,
TASMGVNKZL,MAT0028,Operacoes,2023-06-26,,Substituicao de equipamento
NOZVRDRFF9,MAT0003,Comercial,2023-11-03,2024-01-25,
SM8LS5PNV3,MAT0012,Diretoria,2024-05-07,,Mudanca de setor
NORQEXBQQA,MAT0033,Operacoes,2022-12-05,2023-08-29,Entrega inicial
NORQEXBQQA,MAT0058,Operacoes,2023-08-29,,Mudanca de setor
NOCXERT9PJ,MAT0038,Juridico,2025-06-07,2025-12-20,Desligamento do colaborador
NOCXERT9PJ,MAT0013,Operacoes,2025-12-20,,
DEGG5Y547D,MAT0015,Recursos Humanos,2026-05-30,2026-07-13,Substituicao de equipamento
DEGG5Y547D,MAT0015,Recursos Humanos,2026-07-13,,Entrega inicial
NOGRNN6J5M,MAT0056,Operacoes,2024-04-02,,Mudanca de setor
SWGDAFRL49,MAT0005,Financeiro,2025-07-27,2026-04-24,Remanejamento interno
DE2A2S7U59,MAT0010,Comercial,2025-09-02,,Mudanca de setor
IMDWDD8LDF,MAT0012,Diretoria,2026-05-04,2026-07-22,Substituicao de equipamento
IMDWDD8LDF,MAT0009,Tecnologia da Informacao,2026-07-22,2026-09-04,
IMDWDD8LDF,MAT0013,Operacoes,2026-09-04,2026-09-15,Substituicao de equipamento
DE3HRCF4WS,MAT0003,Comercial,2023-02-24,,
SE3JV7WEA7,MAT0009,Tecnologia da Informacao,2026-04-28,2026-06-11,Desligamento do colaborador
SE3JV7WEA7,MAT0030,Comercial,2026-06-11,,Desligamento do colaborador
SEJYERZUL6,MAT0015,Recursos Humanos,2023-05-30,,Substituicao de equipamento
ROAVGJSHGK,MAT0040,Operacoes,2025-03-12,2025-10-02,Remanejamento interno
ROAVGJSHGK,MAT0036,Operacoes,2025-10-02,,Mudanca de setor
SEPS9SDF5T,MAT0055,Diretoria,2026-08-20,,Remanejamento interno
SMSL65AHEK,MAT0038,Juridico,2024-09-26,,Desligamento do colaborador
MOJCVZCYPR,MAT0001,Financeiro,2024-10-28,2026-02-08,
MOJCVZCYPR,MAT0056,Operacoes,2026-02-08,,Mudanca de setor
IMKRLM4BMX,MAT0038,Juridico,2023-03-05,,Mudanca de setor
SELG2C8QN7,MAT0010,Comercial,2025-02-07,2025-03-14,Desligamento do colaborador
SELG2C8QN7,MAT0003,Comercial,2025-03-14,2025-05-24,Desligamento do colaborador
SELG2C8QN7,MAT0047,Juridico,2025-05-24,,Remanejamento interno
DEBN3XTETY,MAT0026,Financeiro,2023-02-05,,Desligamento do colaborador
SEBHSMSCG5,MAT0029,Juridico,2022-10-23,2025-09-01,Mudanca de setor
SEBHSMSCG5,MAT0006,Marketing,2025-09-01,,Remanejamento interno
IMH2NSC5AN,MAT0014,Tecnologia da Informacao,2024-06-02,2024-11-14,Substituicao de equipamento
IMH2NSC5AN,MAT0019,Juridico,2024-11-14,,Mudanca de setor
SEWHVV4W3U,MAT0002,Operacoes,2025-08-22,2026-05-24,
SEWHVV4W3U,MAT0020,Financeiro,2026-05-24,,Mudanca de setor
SMMV3AVUP5,MAT0048,Tecnologia da Informacao,2024-04-07,2024-05-19,Desligamento do colaborador
SMMV3AVUP5,MAT0030,Comercial,2024-05-19,2025-01-01,Mudanca de setor
DE8LFUXFRV,MAT0012,Diretoria,2025-09-01,2026-04-08,
